epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Bimodal,1.0,0.5283932304,0.46967596105765347,0.05678646079999994,False
16.0,0.98,Bimodal,0.002459,0.528235927,0.468592856249126,0.05647185399999999,False
16.0,0.97,Bimodal,0.020137,0.5273098484000001,0.46643696352315006,0.05461969680000012,False
16.0,0.9600000000000001,Bimodal,0.002262,0.5281651735999999,0.46454820552268106,0.05633034719999985,False
16.0,0.9500000000000001,Bimodal,0.00703,0.5275418238,0.4634142035677387,0.05508364760000006,False
16.0,0.9400000000000001,Bimodal,0.005721,0.52746532,0.4611660552215192,0.05493064000000003,False
16.0,0.93,Bimodal,0.005877,0.5270883812,0.45733904707818374,0.05417676240000002,False
16.0,0.92,Bimodal,1.0,0.5262842234,0.45589206374977165,0.05256844680000006,False
16.0,0.91,Bimodal,1.0,0.5263087504,0.4547657407654478,0.05261750080000005,False
16.0,0.9,Bimodal,1.0,0.526010023,0.45078410202241576,0.052020045999999986,False
16.0,0.89,Bimodal,1.0,0.5260030508,0.45055135649648065,0.052006101599999965,False
16.0,0.88,Bimodal,1.0,0.5256913364,0.44571591145563805,0.05138267279999997,False
16.0,0.87,Bimodal,1.0,0.5256789978,0.4494534219318993,0.051357995600000095,False
16.0,0.86,Bimodal,1.0,0.524343894,0.44043837433840877,0.048687788000000065,False
16.0,0.85,Bimodal,1.0,0.524748104,0.4388241303684859,0.0494962080000001,False
16.0,0.8400000000000001,Bimodal,0.273524,0.5235276275999999,0.4351111548241605,0.04705525519999987,False
16.0,0.8300000000000001,Bimodal,0.049582,0.5234383846,0.4318905948926177,0.04687676920000006,False
16.0,0.8200000000000001,Bimodal,1.0,0.5237355596,0.43032381664808117,0.04747111919999991,False
16.0,0.81,Bimodal,0.137452,0.5230353408,0.424769175413853,0.04607068160000005,False
16.0,0.8,Bimodal,0.383338,0.5223743986,0.4249571902791138,0.04474879720000002,False
16.0,0.79,Bimodal,0.079654,0.5219278292,0.4189753737057538,0.04385565840000005,False
16.0,0.78,Bimodal,0.064519,0.5214118222,0.4129133691284824,0.04282364440000008,False
16.0,0.77,Bimodal,1.0,0.5206490906,0.4047978943618753,0.04129818119999995,False
16.0,0.76,Bimodal,0.063229,0.5199335657999999,0.39808631234485187,0.03986713159999988,False
16.0,0.75,Bimodal,1.0,0.5188691662,0.38791140698624754,0.03773833240000002,False
16.0,0.74,Bimodal,0.385392,0.517643448,0.3778058549931977,0.0352868959999999,False
16.0,0.73,Bimodal,0.334139,0.5174445942,0.3759059150888904,0.03488918839999999,False
16.0,0.72,Bimodal,0.932333,0.5158406919999999,0.35592935585754454,0.03168138399999987,False
16.0,0.7100000000000001,Bimodal,1.0,0.514841723,0.3434937903821065,0.029683445999999947,False
16.0,0.7000000000000001,Bimodal,1.0,0.5144179288,0.33862675438872647,0.02883585760000007,False
16.0,0.6900000000000001,Bimodal,0.10868,0.5135631538,0.3279815897039849,0.0271263075999999,False
16.0,0.68,Bimodal,0.795824,0.512204882,0.30881837660835,0.024409764000000056,False
16.0,0.67,Bimodal,0.700125,0.5116752158000001,0.3061944425265633,0.023350431600000165,False
16.0,0.66,Bimodal,0.743215,0.5115724282,0.30471858964283755,0.02314485640000008,False
16.0,0.65,Bimodal,0.149413,0.5103232548,0.2861228319340424,0.020646509599999918,False
16.0,0.64,Bimodal,0.552851,0.5093894017999999,0.2746170821025401,0.018778803599999838,False
16.0,0.63,Bimodal,0.645372,0.5088958652,0.264700929901979,0.017791730399999928,False
16.0,0.62,Bimodal,0.174062,0.508148138,0.2536446340194445,0.016296276000000054,False
16.0,0.61,Bimodal,0.673324,0.5075620634,0.2444113895608124,0.01512412679999997,False
16.0,0.6,Bimodal,0.257815,0.5068508212,0.2312369156537949,0.013701642400000047,False
16.0,0.59,Bimodal,0.400809,0.5061587798,0.21877358656615362,0.012317559600000028,False
16.0,0.5800000000000001,Bimodal,0.693473,0.5054987898,0.20717186207441177,0.010997579599999918,False
16.0,0.5700000000000001,Bimodal,0.771863,0.5048497706,0.19612082498424505,0.00969954120000005,False
16.0,0.56,Bimodal,0.248749,0.5043374658,0.1852331683433605,0.008674931600000102,False
16.0,0.55,Bimodal,0.719312,0.5038141204,0.17454999637857302,0.007628240799999908,False
16.0,0.54,Bimodal,0.640979,0.5034335234,0.16399017556562182,0.006867046800000054,False
16.0,0.53,Bimodal,0.641021,0.5030202692000001,0.15355161830103684,0.006040538400000184,False
16.0,0.52,Bimodal,0.663477,0.5025909866,0.14320118815406585,0.005181973200000023,False
16.0,0.51,Bimodal,0.417679,0.5021621021999999,0.13286801129157866,0.004324204399999809,False
16.0,0.5,Bimodal,0.423133,0.5019490373999999,0.1224355262015615,0.0038980747999997067,False
16.0,0.49,Bimodal,0.62947,0.5015597016,0.11184797799738974,0.003119403199999926,False
16.0,0.48000000000000004,Bimodal,0.410228,0.501320529,0.10088201770084418,0.0026410580000000294,False
16.0,0.47000000000000003,Bimodal,0.531222,0.5009664361999999,0.08934676948402878,0.001932872399999841,False
16.0,0.46,Bimodal,0.570823,0.5007799118,0.07685507467925076,0.0015598236000000654,False
16.0,0.45,Bimodal,0.415319,0.5004919368,0.06273762760776323,0.0009838736000000736,False
16.0,0.44,Bimodal,0.507723,0.50024052,0.04552613455068006,0.00048103999999993263,False
16.0,0.43,Bimodal,0.499757,0.5000870482,0.026673400953810995,0.00017409640000010107,False
16.0,0.42000000000000004,Bimodal,0.5,0.5000737712,0.024555237543314717,0.00014754239999992258,True
16.0,0.41000000000000003,Bimodal,0.5,0.500068946,0.023763122706892723,0.0001378919999999173,True
16.0,0.4,Bimodal,0.5,0.5000661874,0.023295431027333047,0.00013237479999994584,True
16.0,0.39,Bimodal,0.5,0.5000644944,0.023001383694428914,0.00012898880000000723,True
16.0,0.38,Bimodal,0.5,0.5000635233999999,0.022826883379200368,0.00012704679999986368,True
16.0,0.37,Bimodal,0.5,0.5000630852,0.022745872031347453,0.0001261703999999586,True
16.0,0.36000000000000004,Bimodal,0.5,0.5000630881999999,0.02274340351511864,0.0001261763999997889,True
16.0,0.35000000000000003,Bimodal,0.5,0.500063464,0.022809784306510355,0.00012692800000002613,True
16.0,0.34,Bimodal,0.5,0.5000641744000001,0.022938119046693097,0.00012834880000012205,True
16.0,0.33,Bimodal,0.5,0.5000651804,0.023123054107390455,0.00013036080000006223,True
16.0,0.32,Bimodal,0.5,0.5000664632,0.023360174672249125,0.00013292640000006628,True
16.0,0.31,Bimodal,0.5,0.5000679992,0.0236456990649643,0.00013599840000000363,True
16.0,0.3,Bimodal,0.5,0.5000673062,0.023547715754193434,0.0001346123999999005,True
16.0,0.29000000000000004,Bimodal,0.5,0.5000664356,0.023409605027718074,0.0001328711999999399,True
16.0,0.28,Bimodal,0.5,0.5000658875999999,0.023319111398890247,0.00013177519999985066,True
16.0,0.27,Bimodal,0.5,0.500065644,0.023276001751554577,0.00013128799999995167,True
16.0,0.26,Bimodal,0.5,0.5000656866000001,0.023279903422837818,0.00013137320000011776,True
16.0,0.25,Bimodal,0.5,0.5000660076,0.023330273900612437,0.00013201519999994638,True
16.0,0.24000000000000002,Bimodal,0.5,0.5000665924,0.02342638993726863,0.00013318479999990807,True
16.0,0.23,Bimodal,0.5,0.5000674332,0.02356733944092974,0.00013486640000004435,True
16.0,0.22,Bimodal,0.5,0.5000685144,0.02375205403329895,0.00013702879999999418,True
16.0,0.21000000000000002,Bimodal,0.5,0.5000698298,0.023979286061925193,0.00013965960000006383,True
16.0,0.2,Bimodal,0.5,0.5000713698,0.02424763886760892,0.00014273959999999697,True
16.0,0.19,Bimodal,0.5,0.5000731267999999,0.024555615986474804,0.0001462535999998682,True
16.0,0.18000000000000002,Bimodal,0.5,0.5000737514,0.0246803328888145,0.00014750279999997673,True
16.0,0.17,Bimodal,0.5,0.5000729396,0.024561062763666562,0.00014587919999997645,True
16.0,0.16,Bimodal,0.5,0.5000724360000001,0.02448433770835771,0.00014487200000012912,True
16.0,0.15000000000000002,Bimodal,0.5,0.5000722296,0.024450494647687334,0.00014445919999994672,True
16.0,0.14,Bimodal,0.5,0.500072303,0.024459680561884467,0.0001446060000001026,True
16.0,0.13,Bimodal,0.5,0.5000726520000001,0.02451182344293046,0.00014530400000012378,True
16.0,0.12,Bimodal,0.5,0.500073263,0.024606617860167906,0.00014652599999998017,True
16.0,0.11,Bimodal,0.5,0.5000741270000001,0.024743568892445125,0.00014825400000018085,True
16.0,0.09999999999999999,Bimodal,0.5,0.5000752326,0.024921985906705028,0.00015046519999994956,True
