height,timestamp,gas_used,gas_wanted,tx_count,total_fee_base,total_fee_osmo,fee_per_gas_osmo,load,max_gas,status,error
45947174,2025-10-10T21:01:00.164908+00:00,24010862,47334005,49,592265,0.592265,2.466654466632643e-08,0.08003620666666666,300000000,ok,
45947175,2025-10-10T21:01:01.284663+00:00,9521463,20410775,23,232716,0.232716,2.4441201945541352e-08,0.03173821,300000000,ok,
45947176,2025-10-10T21:01:02.505592+00:00,258374,371838,1,3719,0.003719,1.4393863159605843e-08,0.0008612466666666666,300000000,ok,
45947177,2025-10-10T21:01:03.476533+00:00,21425393,46125491,44,551169,0.551169,2.5725035708796566e-08,0.07141797666666666,300000000,ok,
45947178,2025-10-10T21:01:04.624377+00:00,18276373,35986908,32,538509,0.538509,2.9464763057746743e-08,0.06092124333333333,300000000,ok,
45947179,2025-10-10T21:01:05.738654+00:00,7646085,14628075,19,176687,0.176687,2.3108165812961795e-08,0.02548695,300000000,ok,
45947180,2025-10-10T21:01:06.763508+00:00,0,0,0,0,0.0,0.0,0.0,300000000,ok,
45947181,2025-10-10T21:01:08.149146+00:00,10115444,19027906,24,235784,0.235784,2.3309308024442624e-08,0.033718146666666664,300000000,ok,
45947182,2025-10-10T21:01:09.270814+00:00,7341227,13752095,18,168760,0.16876,2.29879827990607e-08,0.024470756666666666,300000000,ok,
45947183,2025-10-10T21:01:10.382963+00:00,2776574,7442191,9,121263,0.121263,4.3673606394066936e-08,0.009255246666666666,300000000,ok,
45947184,2025-10-10T21:01:11.400097+00:00,16312061,31502057,26,393221,0.393221,2.4106150657479764e-08,0.054373536666666666,300000000,ok,
45947185,2025-10-10T21:01:12.459509+00:00,4232291,5553823,7,60439,0.060439,1.4280445271839767e-08,0.014107636666666666,300000000,ok,
45947186,2025-10-10T21:01:13.431329+00:00,2596781,4979471,7,69279,0.069279,2.6678799636935112e-08,0.008655936666666666,300000000,ok,
45947187,2025-10-10T21:01:14.500684+00:00,9645155,18714949,24,283671,0.283671,2.941072486652625e-08,0.03215051666666666,300000000,ok,
45947188,2025-10-10T21:01:16.429690+00:00,15544035,31826980,41,391013,0.391013,2.515518010606641e-08,0.05181345,300000000,ok,
45947189,2025-10-10T21:01:17.517830+00:00,23879491,48981601,50,618527,0.618527,2.5902017760763827e-08,0.07959830333333333,300000000,ok,
45947190,2025-10-10T21:01:18.640581+00:00,0,0,0,0,0.0,0.0,0.0,300000000,ok,
45947191,2025-10-10T21:01:19.982415+00:00,22289884,39740532,45,485354,0.485354,2.177463103890536e-08,0.07429961333333333,300000000,ok,
45947192,2025-10-10T21:01:22.042477+00:00,11681566,21944739,29,311229,0.311229,2.6642746357808532e-08,0.038938553333333334,300000000,ok,
45947193,2025-10-10T21:01:24.048906+00:00,297961,684402,1,6845,0.006845,2.297280516577673e-08,0.0009932033333333334,300000000,ok,
45947194,2025-10-10T21:01:25.528141+00:00,23712840,53134995,50,725271,0.725271,3.0585581482437365e-08,0.0790428,300000000,ok,
45947195,2025-10-10T21:01:26.609186+00:00,10217334,17952972,23,236166,0.236166,2.311424878544638e-08,0.03405778,300000000,ok,
45947196,2025-10-10T21:01:27.964259+00:00,0,0,0,0,0.0,0.0,0.0,300000000,ok,
45947197,2025-10-10T21:01:29.319828+00:00,14120018,26809070,30,299174,0.299174,2.1187933329830033e-08,0.04706672666666667,300000000,ok,
45947198,2025-10-10T21:01:30.410121+00:00,5584713,10026171,13,136662,0.136662,2.4470729292624347e-08,0.01861571,300000000,ok,
45947199,2025-10-10T21:01:31.523009+00:00,6818376,14418841,15,216834,0.216834,3.1801414295720855e-08,0.02272792,300000000,ok,
45947200,2025-10-10T21:01:32.631844+00:00,7938813,18809595,24,287785,0.287785,3.6250381511694505e-08,0.02646271,300000000,ok,
45947201,2025-10-10T21:01:33.617058+00:00,5263306,9139636,9,108314,0.108314,2.0579080904663343e-08,0.017544353333333332,300000000,ok,
45947202,2025-10-10T21:01:34.679952+00:00,8304431,13696351,14,167796,0.167796,2.020559867376826e-08,0.027681436666666667,300000000,ok,
45947203,2025-10-10T21:01:35.794345+00:00,4249738,6806414,7,121359,0.121359,2.8556819267446604e-08,0.014165793333333333,300000000,ok,
45947204,2025-10-10T21:01:36.833687+00:00,0,0,0,0,0.0,0.0,0.0,300000000,ok,
45947205,2025-10-10T21:01:37.871663+00:00,18922736,36770361,37,566035,0.566035,2.9912957618813685e-08,0.06307578666666666,300000000,ok,
45947206,2025-10-10T21:01:38.952791+00:00,26081153,52563142,55,694539,0.694539,2.6629919313766535e-08,0.08693717666666667,300000000,ok,
45947207,2025-10-10T21:01:40.080134+00:00,4376681,8351683,12,115641,0.115641,2.6422076454738192e-08,0.014588936666666667,300000000,ok,
45947208,2025-10-10T21:01:41.155449+00:00,8281139,13087280,13,172887,0.172887,2.087720058798675e-08,0.027603796666666666,300000000,ok,
