lambda_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Uniform,0.5,0.500000125,0.0009988575937907934,2.500000000349445e-07,True
16.0,0.98,Uniform,0.5,0.5000004896,0.001998258056744451,9.791999999730905e-07,True
16.0,0.97,Uniform,0.5,0.5000010887999999,0.002998151843354455,2.1775999998752127e-06,True
16.0,0.9600000000000001,Uniform,0.5,0.5000019114,0.003998494576428182,3.822800000108373e-06,True
16.0,0.9500000000000001,Uniform,0.5,0.5000029566,0.004999240154737656,5.913200000096097e-06,True
16.0,0.9400000000000001,Uniform,0.5,0.5000042156,0.006000355704158874,8.431199999936467e-06,True
16.0,0.93,Uniform,0.5,0.5000056798,0.007001803912369826,1.1359599999982706e-05,True
16.0,0.92,Uniform,0.5,0.5000060144,0.007205753510641608,1.2028800000063455e-05,True
16.0,0.91,Uniform,0.5,0.5000063636,0.007401249328763377,1.2727199999895689e-05,True
16.0,0.9,Uniform,0.5,0.5000069474,0.007720944477443029,1.3894799999913943e-05,True
16.0,0.89,Uniform,0.5,0.5000077572,0.008150269496183561,1.551440000002735e-05,True
16.0,0.88,Uniform,0.5,0.5000087870000001,0.008672996389858969,1.7574000000131207e-05,True
16.0,0.87,Uniform,0.5,0.500010028,0.009273354779031564,2.0056000000101548e-05,True
16.0,0.86,Uniform,0.5,0.5000114764,0.009937310208918743,2.295279999997568e-05,True
16.0,0.85,Uniform,0.5,0.5000122248,0.010266358144433446,2.444959999992058e-05,True
16.0,0.8400000000000001,Uniform,0.5,0.5000124624,0.010357837678862445,2.492479999993691e-05,True
16.0,0.8300000000000001,Uniform,0.5,0.5000129284,0.01053996541619888,2.5856800000001456e-05,True
16.0,0.8200000000000001,Uniform,0.5,0.5000136218,0.010808140195633215,2.7243599999948742e-05,True
16.0,0.81,Uniform,0.5,0.5000145322,0.011156117396067242,2.9064400000056168e-05,True
16.0,0.8,Uniform,0.5,0.500015655,0.011576673848746671,3.131000000000661e-05,True
16.0,0.79,Uniform,0.5,0.5000169828,0.012062178781459647,3.396559999990778e-05,True
16.0,0.78,Uniform,0.5,0.5000185086,0.012605091045668015,3.701719999993358e-05,True
16.0,0.77,Uniform,0.5,0.5000190838,0.012805275092461555,3.816760000008301e-05,True
16.0,0.76,Uniform,0.5,0.5000192906,0.012868604465159686,3.858120000010956e-05,True
16.0,0.75,Uniform,0.5,0.5000197223999999,0.013002131293129252,3.944479999984374e-05,True
16.0,0.74,Uniform,0.5,0.5000203726,0.013203684129586257,4.074519999996973e-05,True
16.0,0.73,Uniform,0.5,0.5000212342,0.013470152516668653,4.24683999999953e-05,True
16.0,0.72,Uniform,0.5,0.5000223012,0.013797725123127843,4.460240000003779e-05,True
