timestamp,block,base_fee_gwei,tip_gwei,gas_price_gwei
2025-05-29 00:09:30+00:00,11071011,31.25,0.0,31.25
2025-05-29 00:09:36+00:00,11071012,31.25,0.0,31.25
2025-05-29 00:09:42+00:00,11071013,31.25,0.0,31.25
2025-05-29 00:09:48+00:00,11071014,31.25,0.0,31.25
2025-05-29 00:09:54+00:00,11071015,31.25,0.0,31.25
2025-05-29 00:10:00+00:00,11071016,31.25,0.0,31.25
2025-05-29 00:10:06+00:00,11071017,31.25,0.0,31.25
2025-05-29 00:10:12+00:00,11071018,31.25,0.0,31.25
2025-05-29 00:10:18+00:00,11071019,31.25,7.8125,39.0625
2025-05-29 00:10:24+00:00,11071020,31.25,0.0,31.25
2025-05-29 00:10:30+00:00,11071021,31.25,0.0,31.25
2025-05-29 00:10:36+00:00,11071022,31.25,0.0,31.25
2025-05-29 00:10:42+00:00,11071023,31.25,0.0,31.25
2025-05-29 00:10:48+00:00,11071024,31.25,0.0,31.25
2025-05-29 00:10:54+00:00,11071025,31.25,0.0,31.25
2025-05-29 00:11:00+00:00,11071026,31.25,0.0,31.25
2025-05-29 00:11:06+00:00,11071027,31.25,0.0,31.25
2025-05-29 00:11:12+00:00,11071028,31.25,0.0,31.25
2025-05-29 00:11:18+00:00,11071029,31.25,0.0,31.25
2025-05-29 00:11:24+00:00,11071030,31.25,2.5,33.75
2025-05-29 00:11:30+00:00,11071031,31.25,41.25,72.5
2025-05-29 00:11:36+00:00,11071032,31.25,0.0,31.25
2025-05-29 00:11:42+00:00,11071033,31.25,0.0,31.25
2025-05-29 00:11:48+00:00,11071034,31.25,0.0,31.25
2025-05-29 00:11:54+00:00,11071035,31.25,5.0,36.25
2025-05-29 00:12:00+00:00,11071036,31.25,0.0,31.25
2025-05-29 00:12:06+00:00,11071037,31.25,0.0,31.25
2025-05-29 00:12:12+00:00,11071038,31.25,63.125,94.375
2025-05-29 00:12:18+00:00,11071039,31.25,0.0,31.25
2025-05-29 00:12:24+00:00,11071040,31.25,0.15625,31.40625
2025-05-29 00:12:30+00:00,11071041,31.25,0.0,31.25
2025-05-29 00:12:36+00:00,11071042,31.25,133.983,165.233
2025-05-29 00:12:42+00:00,11071043,31.25,5.0,36.25
2025-05-29 00:12:48+00:00,11071044,31.25,0.0,31.25
2025-05-29 00:12:54+00:00,11071045,31.25,0.0,31.25
