num_shards,epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
7,16.0,0.99,Spike,1.0,0.9850994708,0.09456625770588814,0.9701989416000001,False
7,16.0,0.98,Spike,1.0,0.9786816222,0.12312184384924242,0.9573632444,False
7,16.0,0.97,Spike,1.0,0.9611250415999999,0.1779716419790412,0.9222500831999998,False
7,16.0,0.9600000000000001,Spike,1.0,0.9282327558000001,0.24693585176556604,0.8564655116000002,False
7,16.0,0.9500000000000001,Spike,1.0,0.8814538032,0.31449012582132985,0.7629076064,False
7,16.0,0.9400000000000001,Spike,1.0,0.8275646176,0.3702938605973069,0.6551292352,False
7,16.0,0.93,Spike,1.0,0.7756482608,0.4104338142970636,0.5512965216000001,False
7,16.0,0.92,Spike,1.0,0.7256275542,0.4398998900606134,0.45125510840000005,False
7,16.0,0.91,Spike,1.0,0.6948266853999999,0.4544164000314046,0.38965337079999984,False
7,16.0,0.9,Spike,1.0,0.6892470796,0.4567999769518404,0.37849415919999996,False
7,16.0,0.89,Spike,1.0,0.705471171,0.4497461965390596,0.410942342,False
7,16.0,0.88,Spike,0.0,0.6992796634,0.45241827274362184,0.39855932680000006,False
7,16.0,0.87,Spike,0.0,0.6546160784,0.4695656643758174,0.30923215680000005,False
7,16.0,0.86,Spike,0.0,0.5750711762,0.48860985960774544,0.15014235240000007,False
7,16.0,0.85,Spike,1.0,0.5470617377999999,0.4918450556705078,0.09412347559999978,False
7,16.0,0.8400000000000001,Spike,1.0,0.607773898,0.48217874274891404,0.21554779600000007,False
7,16.0,0.8300000000000001,Spike,0.0,0.5872902769999999,0.4863093471420143,0.17458055399999983,False
7,16.0,0.8200000000000001,Spike,1.0,0.5441264276,0.491802111677772,0.08825285519999992,False
7,16.0,0.81,Spike,0.0,0.5925801384,0.4849605529111658,0.18516027680000002,False
7,16.0,0.8,Spike,1.0,0.5482956626,0.4910764152448007,0.09659132519999991,False
7,16.0,0.79,Spike,0.0,0.557869082,0.4899260349210635,0.11573816399999992,False
7,16.0,0.78,Spike,1.0,0.5571432946,0.48969792691962505,0.11428658920000001,False
7,16.0,0.77,Spike,1.0,0.5363608736000001,0.4913082007893898,0.07272174720000013,False
7,16.0,0.76,Spike,0.0,0.5429353684,0.49063013902126185,0.08587073680000001,False
7,16.0,0.75,Spike,0.0,0.5392033894,0.490594520944076,0.07840677880000002,False
7,16.0,0.74,Spike,0.210205,0.5299743290000001,0.4906145239420681,0.059948658000000155,False
7,16.0,0.73,Spike,1.0,0.5314578525999999,0.4898241022340166,0.06291570519999978,False
7,16.0,0.72,Spike,1.0,0.5403770276,0.48867307950073674,0.0807540551999999,False
7,16.0,0.7100000000000001,Spike,0.0,0.5376890206,0.488429214310997,0.07537804120000002,False
7,16.0,0.7000000000000001,Spike,1.0,0.54314779,0.4872887080984988,0.08629558000000004,False
7,16.0,0.6900000000000001,Spike,1.0,0.5330919258,0.4870251563512375,0.06618385159999995,False
7,16.0,0.68,Spike,1.0,0.5329686336,0.4860053610334652,0.06593726720000004,False
7,16.0,0.67,Spike,1.0,0.5357629692,0.4848277124672461,0.07152593839999999,False
7,16.0,0.66,Spike,0.0,0.5380656616,0.4836097746148782,0.07613132320000005,False
7,16.0,0.65,Spike,1.0,0.5329043109999999,0.48234845943755333,0.06580862199999982,False
7,16.0,0.64,Spike,0.000139,0.5327235365999999,0.4808303068875294,0.06544707319999987,False
7,16.0,0.63,Spike,1.0,0.5286754026,0.4792332885765351,0.05735080520000002,False
7,16.0,0.62,Spike,1.0,0.5313072771999999,0.4770617390568181,0.06261455439999986,False
7,16.0,0.61,Spike,0.000357,0.5315622982000001,0.47523741754814597,0.06312459640000023,False
7,16.0,0.6,Spike,1.0,0.5330196558,0.4729408468055822,0.06603931159999998,False
7,16.0,0.59,Spike,0.000266,0.5312287846,0.47115874373169936,0.06245756920000001,False
7,16.0,0.5800000000000001,Spike,0.024296,0.5284837506,0.4682527017432673,0.05696750119999994,False
7,16.0,0.5700000000000001,Spike,1.0,0.5303460748000001,0.46489781973540095,0.060692149600000134,False
7,16.0,0.56,Spike,0.000466,0.5296934406,0.4607310570529066,0.05938688120000002,False
7,16.0,0.55,Spike,1.0,0.5276503720000001,0.45754889303631213,0.05530074400000018,False
7,16.0,0.54,Spike,0.024341,0.5267457148,0.453490800428509,0.05349142959999997,False
7,16.0,0.53,Spike,1.0,0.5256776486,0.44956470327424986,0.05135529719999998,False
7,16.0,0.52,Spike,1.0,0.5267738218,0.4479016844152266,0.05354764359999997,False
7,16.0,0.51,Spike,1.0,0.5247225390000001,0.44037896789949327,0.0494450780000002,False
7,16.0,0.5,Spike,0.176965,0.5236619588,0.4354288724281764,0.04732391759999999,False
7,16.0,0.49,Spike,0.025274,0.524065115,0.42982872030068725,0.04813022999999994,False
7,16.0,0.48000000000000004,Spike,1.0,0.5227197590000001,0.4255304320054699,0.045439518000000234,False
7,16.0,0.47000000000000003,Spike,0.200076,0.5219918433999999,0.4206580486578901,0.043983686799999866,False
7,16.0,0.46,Spike,1.0,0.5224942276,0.41560637309585785,0.044988455199999944,False
7,16.0,0.45,Spike,0.156425,0.5208867564,0.40895859718566757,0.04177351280000008,False
7,16.0,0.44,Spike,0.292866,0.519959144,0.40274271562578856,0.03991828799999997,False
7,16.0,0.43,Spike,0.143509,0.5198498998,0.39846488893049964,0.03969979959999992,False
7,16.0,0.42000000000000004,Spike,1.0,0.5196935739999999,0.39108086163640504,0.03938714799999987,False
