epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Spike,1.0,0.548715509,0.49125664287885007,0.09743101799999998,False
16.0,0.98,Spike,1.0,0.541283862,0.4918842029292073,0.08256772400000001,False
16.0,0.97,Spike,1.0,0.5324541292,0.4923250369048285,0.06490825840000003,False
16.0,0.9600000000000001,Spike,1.0,0.5371940834,0.4918526579145718,0.07438816679999993,False
16.0,0.9500000000000001,Spike,1.0,0.53636384,0.49165588713584407,0.07272768000000007,False
16.0,0.9400000000000001,Spike,0.0,0.54321753,0.4909189418977478,0.0864350599999999,False
16.0,0.93,Spike,1.0,0.5419031224,0.4906289318685627,0.0838062448000001,False
16.0,0.92,Spike,0.022893,0.5305390820000001,0.4912680722171422,0.06107816400000021,False
16.0,0.91,Spike,1.0,0.5387413673999999,0.49028210168018005,0.07748273479999979,False
16.0,0.9,Spike,1.0,0.5395820457999999,0.4898689910304373,0.07916409159999982,False
16.0,0.89,Spike,1.0,0.5346031426000001,0.4896888340700462,0.06920628520000016,False
16.0,0.88,Spike,0.00137,0.5320256362,0.4894859968133638,0.06405127239999997,False
16.0,0.87,Spike,1.0,0.5381267484,0.4880893616973289,0.07625349679999993,False
16.0,0.86,Spike,1e-06,0.5355617368,0.48781619684666466,0.07112347359999993,False
16.0,0.85,Spike,1.0,0.5336177208,0.4869931566531405,0.06723544160000006,False
16.0,0.8400000000000001,Spike,1.0,0.5335145624000001,0.4862531923278801,0.06702912480000012,False
16.0,0.8300000000000001,Spike,1.0,0.5313459734,0.48552709135220995,0.06269194680000001,False
16.0,0.8200000000000001,Spike,1.0,0.5311338778,0.48431827646835374,0.062267755599999974,False
16.0,0.81,Spike,0.033254,0.5298044554,0.4835591762744244,0.05960891079999997,False
16.0,0.8,Spike,1.3e-05,0.533849028,0.482138944995679,0.067698056,False
16.0,0.79,Spike,0.055478,0.5292407980000001,0.4808155218374011,0.05848159600000025,False
16.0,0.78,Spike,1.0,0.5302193466,0.4795340308125691,0.06043869320000006,False
16.0,0.77,Spike,1.0,0.5292707994,0.4777854045558404,0.05854159879999998,False
16.0,0.76,Spike,0.00425,0.5300682008,0.4760560207513393,0.06013640159999989,False
16.0,0.75,Spike,0.089057,0.5282537965999999,0.47429308914047874,0.05650759319999987,False
16.0,0.74,Spike,0.048561,0.5282887368,0.4718550679404524,0.05657747359999998,False
16.0,0.73,Spike,0.018654,0.5286263304,0.4703550565416148,0.05725266079999991,False
16.0,0.72,Spike,0.006625,0.5287764586,0.46695011477266296,0.0575529172,False
16.0,0.7100000000000001,Spike,0.001898,0.5290635072,0.46356366171338775,0.0581270143999999,False
16.0,0.7000000000000001,Spike,0.05123,0.5270955494,0.4617121678973779,0.05419109880000006,False
16.0,0.6900000000000001,Spike,1.0,0.5268167079999999,0.4589982871952639,0.05363341599999982,False
16.0,0.68,Spike,1.0,0.5258982884,0.4550951369827429,0.05179657679999994,False
16.0,0.67,Spike,0.021717,0.526511773,0.4527296418597342,0.05302354599999992,False
16.0,0.66,Spike,1.0,0.5259417938000001,0.4479999292579385,0.051883587600000114,False
16.0,0.65,Spike,1.0,0.5245719052000001,0.44367182085391466,0.049143810400000154,False
16.0,0.64,Spike,0.027942,0.5251104214,0.4418494925124261,0.05022084279999994,False
16.0,0.63,Spike,1.0,0.523787925,0.4379113173831901,0.047575850000000086,False
16.0,0.62,Spike,0.213173,0.5231454544,0.4331039913310143,0.046290908800000086,False
16.0,0.61,Spike,0.778797,0.5226852033999999,0.4289907047802421,0.04537040679999982,False
16.0,0.6,Spike,1.0,0.5232865612,0.4243327063248201,0.04657312240000011,False
16.0,0.59,Spike,0.253977,0.5212312674,0.41556643589865944,0.04246253480000006,False
16.0,0.5800000000000001,Spike,0.196463,0.5212314318000001,0.414987460412722,0.04246286360000018,False
16.0,0.5700000000000001,Spike,0.157334,0.5207519763999999,0.4094417032461809,0.041503952799999855,False
16.0,0.56,Spike,0.215839,0.5201273667999999,0.40467917991133445,0.04025473359999987,False
16.0,0.55,Spike,1.0,0.5197951300000001,0.40054543274989224,0.03959026000000021,False
16.0,0.54,Spike,1.0,0.5191862422,0.3936218004228027,0.03837248439999996,False
16.0,0.53,Spike,1.0,0.5192446528000001,0.3894018824492774,0.03848930560000019,False
16.0,0.52,Spike,1.0,0.5183594434000001,0.38384589169961075,0.03671888680000013,False
16.0,0.51,Spike,1.0,0.5180507209999999,0.37827157287175595,0.03610144199999987,False
16.0,0.5,Spike,0.388653,0.5168069282,0.37191460781520636,0.03361385639999992,False
16.0,0.49,Spike,0.16202,0.5164010294,0.3646873935817525,0.03280205879999998,False
16.0,0.48000000000000004,Spike,0.202176,0.5159494176,0.36076202394441426,0.03189883520000003,False
16.0,0.47000000000000003,Spike,0.173729,0.5153321068,0.35281930084494517,0.030664213599999934,False
16.0,0.46,Spike,0.616455,0.5146123852000001,0.34735616618594856,0.029224770400000155,False
16.0,0.45,Spike,0.273619,0.5141444094000001,0.3413627597314846,0.028288818800000115,False
16.0,0.44,Spike,1.0,0.5138344308,0.3347532747196292,0.02766886160000004,False
16.0,0.43,Spike,0.161978,0.5129431724,0.3233588538648541,0.02588634479999996,False
16.0,0.42000000000000004,Spike,0.345671,0.51239707,0.3207248517658611,0.02479414000000002,False
16.0,0.41000000000000003,Spike,0.237079,0.5119196852,0.31286245770831045,0.02383937039999995,False
16.0,0.4,Spike,0.245202,0.5109111789999999,0.299323502534065,0.021822357999999875,False
