epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Uniform,1.0,0.5299427488,0.4763929765516306,0.05988549760000006,False
16.0,0.98,Uniform,1.0,0.5294854569999999,0.47534003123779717,0.058970913999999874,False
16.0,0.97,Uniform,1.0,0.529396416,0.47435507723794257,0.05879283199999996,False
16.0,0.9600000000000001,Uniform,0.014874,0.528002816,0.4717700520168504,0.05600563199999997,False
16.0,0.9500000000000001,Uniform,1.0,0.5279790918,0.46999859801274024,0.055958183600000044,False
16.0,0.9400000000000001,Uniform,1.0,0.5286045268,0.4693632361195778,0.05720905360000006,False
16.0,0.93,Uniform,1.0,0.5281221264,0.46618935549176627,0.056244252800000005,False
16.0,0.92,Uniform,1.0,0.5275314732,0.46331613019994194,0.05506294640000009,False
16.0,0.91,Uniform,0.034225,0.5277830258,0.4632307718908713,0.055566051600000055,False
16.0,0.9,Uniform,1.0,0.527057556,0.4587358484868967,0.054115112000000076,False
16.0,0.89,Uniform,0.290838,0.5260732878000001,0.45778823001107916,0.052146575600000133,False
16.0,0.88,Uniform,1.0,0.5261971122,0.4539232622850879,0.05239422439999997,False
16.0,0.87,Uniform,0.023964,0.5260452632,0.45292211058972837,0.0520905264,False
16.0,0.86,Uniform,0.70227,0.5251164942000001,0.44887298989149127,0.05023298840000012,False
16.0,0.85,Uniform,1.0,0.5252894428,0.44820629320130456,0.05057888560000001,False
16.0,0.8400000000000001,Uniform,0.020803,0.5252551976000001,0.4444366064728683,0.05051039520000011,False
16.0,0.8300000000000001,Uniform,1.0,0.5243493162,0.43747043310508976,0.04869863240000005,False
16.0,0.8200000000000001,Uniform,1.0,0.5243326984,0.44095518532047817,0.04866539679999993,False
16.0,0.81,Uniform,0.033689,0.5238682832,0.43372254740728905,0.04773656640000001,False
16.0,0.8,Uniform,0.05646,0.5229489274,0.42773003296500256,0.04589785479999997,False
16.0,0.79,Uniform,0.901346,0.5235178458,0.4300386466984902,0.047035691600000096,False
16.0,0.78,Uniform,0.076241,0.5231748866,0.4305769350165954,0.0463497732,False
16.0,0.77,Uniform,1.0,0.522087121,0.4200849342174009,0.044174241999999975,False
16.0,0.76,Uniform,1.0,0.5214957278,0.4166752723339904,0.04299145559999995,False
16.0,0.75,Uniform,0.176247,0.5217808834000001,0.420159119123312,0.04356176680000012,False
16.0,0.74,Uniform,1.0,0.5214704840000001,0.41303446146857997,0.042940968000000135,False
16.0,0.73,Uniform,1.0,0.5205611192,0.4032569004539029,0.041122238400000066,False
