epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Spike,1.0,0.9839830378000001,0.09924521627942398,0.9679660756000001,False
16.0,0.98,Spike,1.0,0.9709210493999999,0.14940496890709154,0.9418420987999998,False
16.0,0.97,Spike,1.0,0.9156309152,0.26721068667016923,0.8312618303999999,False
16.0,0.9600000000000001,Spike,1.0,0.7574178347999999,0.4218268876320368,0.5148356695999998,False
16.0,0.9500000000000001,Spike,0.0,0.6346120004,0.47564221196323214,0.2692240008,False
16.0,0.9400000000000001,Spike,1.0,0.9879069282,0.07956666407926115,0.9758138564000001,False
16.0,0.93,Spike,1.0,0.9878769928,0.07990110544080901,0.9757539855999999,False
16.0,0.92,Spike,1.0,0.9878448951999999,0.08015111127418205,0.9756897903999997,False
16.0,0.91,Spike,1.0,0.9878237996,0.08034036784596499,0.9756475992,False
16.0,0.9,Spike,1.0,0.9878125136000001,0.0804785783614126,0.9756250272000002,False
16.0,0.89,Spike,1.0,0.9878084522000001,0.08057551718525205,0.9756169044000003,False
16.0,0.88,Spike,1.0,0.9878096984,0.0806415538357046,0.9756193968,False
16.0,0.87,Spike,1.0,0.9878148336,0.08068608847651396,0.9756296672,False
16.0,0.86,Spike,1.0,0.9878171708,0.08071712409039802,0.9756343416,False
16.0,0.85,Spike,1.0,0.9877963104,0.08073281431677676,0.9755926208000001,False
16.0,0.8400000000000001,Spike,1.0,0.9877816586000001,0.08074581416764069,0.9755633172000002,False
16.0,0.8300000000000001,Spike,1.0,0.9877744486,0.08076624723599751,0.9755488971999999,False
16.0,0.8200000000000001,Spike,1.0,0.9877727566,0.08078485910146631,0.9755455131999999,False
16.0,0.81,Spike,1.0,0.9877751596,0.0807992840200763,0.9755503191999999,False
16.0,0.8,Spike,0.0,0.9374398426,0.23037842769763733,0.8748796852,False
16.0,0.79,Spike,0.0,0.7800275329999999,0.4074975292536809,0.5600550659999999,False
16.0,0.78,Spike,0.0,0.6498880318,0.4711647069464545,0.2997760636,False
16.0,0.77,Spike,0.0,0.5518130672,0.4917083179760209,0.10362613440000001,False
16.0,0.76,Spike,1.0,0.5844931562,0.48676477562065723,0.16898631239999995,False
16.0,0.75,Spike,1.0,0.6484274758,0.47120282801515156,0.2968549516000001,False
16.0,0.74,Spike,0.0,0.6449032214,0.47227587807447735,0.2898064428,False
16.0,0.73,Spike,0.0,0.5449298978000001,0.4919035781177868,0.08985979560000024,False
16.0,0.72,Spike,1.0,0.592493566,0.48485157701139114,0.18498713200000005,False
16.0,0.7100000000000001,Spike,0.0,0.578526603,0.48725292892646843,0.15705320600000006,False
16.0,0.7000000000000001,Spike,1.0,0.5627976634,0.48902072623715537,0.12559532680000007,False
16.0,0.6900000000000001,Spike,0.0,0.5557092575999999,0.48979987734004027,0.11141851519999979,False
16.0,0.68,Spike,1.0,0.5772558938,0.4863992601259294,0.15451178759999995,False
16.0,0.67,Spike,1.0,0.5500815078000001,0.4893074790339229,0.10016301560000018,False
16.0,0.66,Spike,1.0,0.5372785863999999,0.48998879909347715,0.07455717279999985,False
16.0,0.65,Spike,1.0,0.5367118598,0.4894113822570324,0.07342371960000005,False
16.0,0.64,Spike,1.0,0.5426207268000001,0.48838763163052606,0.08524145360000013,False
16.0,0.63,Spike,1.0,0.5541754304000001,0.486699597161739,0.10835086080000011,False
16.0,0.62,Spike,1.0,0.5297882946,0.487521466116183,0.059576589199999974,False
16.0,0.61,Spike,0.0,0.5432298061999999,0.4858335099912141,0.08645961239999989,False
16.0,0.6,Spike,1.0,0.5451692788,0.4844510663492019,0.09033855759999998,False
16.0,0.59,Spike,0.0,0.5406985454,0.4835157658105322,0.0813970907999999,False
16.0,0.5800000000000001,Spike,0.057857,0.5298205082,0.482538202373975,0.05964101640000008,False
16.0,0.5700000000000001,Spike,1.0,0.5394002632,0.4799914840434013,0.07880052640000001,False
16.0,0.56,Spike,1.0,0.5357143696,0.4782340032137357,0.07142873919999992,False
16.0,0.55,Spike,0.0,0.5353948051999999,0.4763060563887297,0.07078961039999987,False
16.0,0.54,Spike,1.0,0.5286329374,0.4734728056271481,0.057265874799999894,False
16.0,0.53,Spike,0.007228,0.5296423928,0.4718701302756717,0.059284785600000056,False
16.0,0.52,Spike,0.383704,0.5272314934,0.4684569795986753,0.054462986799999946,False
16.0,0.51,Spike,1.0,0.5315923016,0.46494529363850146,0.06318460320000008,False
16.0,0.5,Spike,1.0,0.5290359746,0.4614126169356792,0.05807194919999992,False
16.0,0.49,Spike,1.0,0.5297503673999999,0.4554222594041611,0.059500734799999844,False
16.0,0.48000000000000004,Spike,0.035141,0.5266311551999999,0.4534519546261941,0.053262310399999846,False
16.0,0.47000000000000003,Spike,0.872331,0.5247603956,0.44674984944272167,0.04952079119999997,False
16.0,0.46,Spike,0.021782,0.5254483858000001,0.4410851083941356,0.05089677160000017,False
16.0,0.45,Spike,1.0,0.5258633542000001,0.43650003996884634,0.051726708400000154,False
16.0,0.44,Spike,1.0,0.5228309672,0.427852501976585,0.04566193439999999,False
16.0,0.43,Spike,1.0,0.523296308,0.42114928805718976,0.04659261600000009,False
16.0,0.42000000000000004,Spike,0.018789,0.5224910079999999,0.4130818460317579,0.04498201599999985,False
16.0,0.41000000000000003,Spike,0.277562,0.5204302136,0.4066929940616289,0.04086042719999994,False
16.0,0.4,Spike,1.0,0.51972559,0.39897906494634555,0.03945117999999992,False
16.0,0.39,Spike,1.0,0.5196395826,0.3919982010803499,0.039279165199999966,False
