epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Uniform,0.00079,0.5306945866,0.48692972713333504,0.061389173200000036,False
16.0,0.98,Uniform,1.0,0.5337974634,0.4860409458108916,0.06759492680000001,False
16.0,0.97,Uniform,1.0,0.5318758278,0.4857608915676389,0.06375165559999996,False
16.0,0.9600000000000001,Uniform,0.017925,0.5296249318,0.4854021448920162,0.05924986360000006,False
16.0,0.9500000000000001,Uniform,1.0,0.5307893802000001,0.48401372196408143,0.06157876040000021,False
16.0,0.9400000000000001,Uniform,1.0,0.5298763592,0.4832910923057906,0.05975271839999996,False
16.0,0.93,Uniform,0.014252,0.5296161756000001,0.48242986231842916,0.059232351200000144,False
16.0,0.92,Uniform,0.000282,0.5316125956,0.48107657531925985,0.06322519119999992,False
16.0,0.91,Uniform,1.0,0.5307692396,0.4799951829041917,0.061538479199999996,False
16.0,0.9,Uniform,1.0,0.5315816016000001,0.4787234135014244,0.06316320320000024,False
16.0,0.89,Uniform,1.0,0.5302202686,0.478278763220209,0.06044053720000009,False
16.0,0.88,Uniform,1.0,0.5304753198,0.47569974530479214,0.06095063959999991,False
16.0,0.87,Uniform,0.018183,0.5288214274,0.4744589039001409,0.05764285480000009,False
16.0,0.86,Uniform,0.032846,0.5307378422,0.47233247326715977,0.06147568439999995,False
16.0,0.85,Uniform,1.0,0.5300154056,0.4705487820298293,0.06003081120000009,False
16.0,0.8400000000000001,Uniform,1.0,0.5283893846,0.4685980982069207,0.05677876919999991,False
16.0,0.8300000000000001,Uniform,0.018093,0.5280188299999999,0.4667638773491663,0.05603765999999988,False
16.0,0.8200000000000001,Uniform,1.0,0.5290461366,0.46523464532839637,0.05809227319999999,False
16.0,0.81,Uniform,1.0,0.5270288625999999,0.46185175542840784,0.05405772519999985,False
16.0,0.8,Uniform,1.0,0.527971182,0.46040667015610726,0.05594236400000008,False
