config,delta,alpha_inbound,alpha_outbound,kappa_def,kappa_att,Gi,Ri,stable
Osmosis,0.069,0.059,0.059,7.0391,3.7786,1.4322,0.1718,True
Osmosis,0.07,0.059,0.059,7.1372,3.785,1.4595,0.1714,True
Osmosis,0.071,0.059,0.059,7.2353,3.7915,1.4869,0.1709,True
Osmosis,0.072,0.059,0.059,7.3334,3.798,1.5145,0.1704,True
Osmosis,0.073,0.059,0.059,7.4315,3.8044,1.5423,0.17,True
Osmosis,0.074,0.059,0.059,7.5296,3.8109,1.5703,0.1695,True
Osmosis,0.075,0.059,0.059,7.6277,3.8174,1.5984,0.1691,True
Osmosis,0.076,0.059,0.059,7.7258,3.8238,1.6268,0.1686,True
Osmosis,0.077,0.059,0.059,7.8239,3.8303,1.6553,0.1682,True
Osmosis,0.078,0.059,0.059,7.922,3.8368,1.684,0.1678,True
Osmosis,0.079,0.059,0.059,8.0201,3.8432,1.713,0.1673,True
Osmosis,0.08,0.059,0.059,8.1182,3.8497,1.742,0.1669,False
